ACJ66779.1	tr|A0A2G9GCU5|A0A2G9GCU5_9LAMI	52.851	456	208	4	141584	142036	40	491	3.62e-156	495
ACJ66779.1	tr|B9RBW9|B9RBW9_RICCO	51.739	460	214	4	141584	142039	46	501	1.72e-154	491
ACJ66779.1	tr|A0A2G9FXM5|A0A2G9FXM5_9LAMI	49.263	475	216	6	141570	142039	29	483	3.39e-145	463
ACJ66779.1	tr|A0A2G9H5W3|A0A2G9H5W3_9LAMI	48.941	472	231	5	141570	142039	29	492	5.42e-142	454
ACJ66779.1	tr|A0A6M3TXH1|A0A6M3TXH1_LITER	46.709	471	240	6	141575	142039	31	496	1.79e-141	453
ACJ66779.1	tr|A0A2S1RED8|A0A2S1RED8_CHRMO	49.778	450	213	6	141590	142036	48	487	3.53e-141	452
ACJ66779.1	tr|A0A6M3TY96|A0A6M3TY96_LITER	44.050	479	259	5	141566	142039	19	493	1.38e-136	439
ACJ66779.1	tr|A0A2G9HLA0|A0A2G9HLA0_9LAMI	43.284	469	258	4	141575	142039	31	495	3.11e-124	404
ACJ66779.1	tr|B9SRM5|B9SRM5_RICCO	44.000	475	252	7	141572	142036	34	504	1.05e-123	402
ACJ66779.1	tr|B9RHX8|B9RHX8_RICCO	42.521	468	254	8	141575	142038	38	494	1.08e-117	384
ACJ66779.1	tr|A0A0B4VFR8|A0A0B4VFR8_PODPE	40.870	460	258	5	141585	142035	49	503	2.78e-115	378
ACJ66779.1	tr|B9R9F5|B9R9F5_RICCO	41.357	457	255	9	141583	142036	45	491	7.31e-112	368
ACJ66779.1	tr|B9SRM8|B9SRM8_RICCO	38.382	482	280	5	141570	142038	29	506	1.75e-111	367
ACJ66779.1	tr|B9SRM4|B9SRM4_RICCO	40.404	495	277	7	141568	142048	30	520	1.56e-110	365
ACJ66779.1	tr|D5M8Q3|D5M8Q3_9MAGN	41.929	477	253	10	141575	142036	33	500	1.92e-110	364
ACJ66779.1	tr|R9WS52|R9WS52_9ROSI	40.719	501	274	9	141554	142036	3	498	3.06e-108	358
ACJ66779.1	tr|F2VR48|F2VR48_PRUAV	40.881	477	255	8	141576	142036	31	496	4.21e-108	357
ACJ66779.1	tr|B9SRN0|B9SRN0_RICCO	38.947	475	279	5	141574	142038	47	520	3.66e-107	355
ACJ66779.1	tr|B9SRN5|B9SRN5_RICCO	38.462	481	279	5	141571	142038	34	510	4.02e-107	355
ACJ66779.1	tr|B9SRM6|B9SRM6_RICCO	37.367	471	283	5	141575	142038	35	500	3.42e-105	348
ACJ66779.1	tr|I1WYE8|I1WYE8_PAELC	41.807	476	256	9	141575	142036	30	498	5.38e-105	348
ACJ66779.1	tr|A0A151TRR2|A0A151TRR2_CAJCA	41.075	465	259	6	141583	142036	30	490	7.88e-103	342
ACJ66779.1	tr|B9SRN4|B9SRN4_RICCO	38.254	481	280	5	141571	142038	34	510	1.49e-102	342
ACJ66779.1	tr|I0IV87|I0IV87_GLYSO	38.280	465	274	6	141575	142032	36	494	1.52e-102	341
ACJ66779.1	tr|A0A0B2RFD5|A0A0B2RFD5_GLYSO	30.307	815	409	20	141237	142035	13	684	2.65e-102	347
ACJ66779.1	tr|A0A2I0B5P5|A0A2I0B5P5_9ASPA	39.014	487	269	11	141570	142036	30	508	3.08e-101	338
ACJ66779.1	tr|T1NXM6|T1NXM6_FRAVR	41.064	470	250	9	141583	142036	40	498	6.25e-101	337
ACJ66779.1	tr|A0A218WL77|A0A218WL77_PUNGR	38.085	470	279	5	141569	142032	30	493	6.89e-101	337
ACJ66779.1	tr|A0A0N6VV42|A0A0N6VV42_LYCRU	40.127	471	259	9	141583	142037	42	505	6.91e-101	337
ACJ66779.1	tr|T1NXM5|T1NXM5_FRAVE	41.064	470	250	9	141583	142036	40	498	1.09e-100	336
ACJ66779.1	tr|A0A0B2QDG0|A0A0B2QDG0_GLYSO	40.426	470	255	9	141583	142036	40	500	1.21e-100	336
ACJ66779.1	tr|A0A0N6XG41|A0A0N6XG41_LYCBA	39.583	480	266	10	141583	142045	42	514	1.26e-100	336
ACJ66779.1	tr|A0A0A0RI01|A0A0A0RI01_PAELC	37.209	473	288	4	141573	142038	30	500	1.49e-100	335
ACJ66779.1	tr|A0A2G9GCT6|A0A2G9GCT6_9LAMI	39.419	482	257	9	141575	142036	34	500	1.49e-100	336
ACJ66779.1	tr|A0A2G9IBB5|A0A2G9IBB5_9LAMI	37.764	474	281	7	141575	142041	38	504	1.60e-100	335
ACJ66779.1	tr|A0A2G9IBC6|A0A2G9IBC6_9LAMI	37.500	472	281	7	141575	142039	38	502	2.23e-100	335
ACJ66779.1	tr|T1NXM4|T1NXM4_FRAAN	41.064	470	250	9	141583	142036	40	498	2.55e-100	335
ACJ66779.1	tr|T1NXM3|T1NXM3_FRAAN	41.064	470	250	9	141583	142036	40	498	2.98e-100	335
ACJ66779.1	tr|B9RC29|B9RC29_RICCO	39.103	468	267	9	141575	142036	35	490	3.75e-100	334
ACJ66779.1	tr|A0A1U9X5Z7|A0A1U9X5Z7_THAGA	37.996	479	283	5	141570	142038	30	504	9.28e-100	333
ACJ66779.1	tr|A0A1U9X5Y8|A0A1U9X5Y8_THAGA	37.866	478	279	7	141570	142036	30	500	2.12e-99	332
ACJ66779.1	tr|A0A151SPD8|A0A151SPD8_CAJCA	40.476	462	249	10	141590	142036	1	451	2.69e-99	330
ACJ66779.1	tr|T1NXM1|T1NXM1_FRAVE	40.851	470	251	9	141583	142036	40	498	2.81e-99	332
ACJ66779.1	tr|T1NXM2|T1NXM2_9ROSA	40.598	468	255	10	141583	142036	40	498	3.47e-99	332
ACJ66779.1	tr|D5M8Q4|D5M8Q4_9MAGN	38.085	470	272	7	141575	142035	37	496	3.54e-99	332
ACJ66779.1	tr|D2XSZ0|D2XSZ0_CHRMO	38.430	484	267	9	141570	142036	27	496	1.83e-98	330
ACJ66779.1	tr|A0A0N6VV47|A0A0N6VV47_LYCRU	39.186	467	269	7	141575	142033	34	493	3.21e-98	329
ACJ66779.1	tr|A0A060L8Y9|A0A060L8Y9_ANTAD	37.782	487	272	10	141575	142045	36	507	3.62e-98	329
ACJ66779.1	tr|A0A2S1Q4X0|A0A2S1Q4X0_CHRMO	38.509	483	268	9	141570	142036	27	496	3.82e-98	328
ACJ66779.1	tr|A0A2I0A2H7|A0A2I0A2H7_9ASPA	37.344	482	275	9	141575	142036	36	510	3.84e-98	329
ACJ66779.1	tr|A0A2G9IBB7|A0A2G9IBB7_9LAMI	37.100	469	279	7	141575	142035	38	498	4.68e-98	328
ACJ66779.1	tr|D2XSZ1|D2XSZ1_CHRMO	38.716	483	267	9	141570	142036	27	496	7.33e-98	328
ACJ66779.1	tr|D2XSZ2|D2XSZ2_CHRMO	38.716	483	267	9	141570	142036	27	496	8.46e-98	328
ACJ66779.1	tr|D2XSY8|D2XSY8_CHRMO	39.085	481	268	10	141570	142036	27	496	1.19e-97	327
